org,repo,score,issue_open_close_ratio,num_open_pr,pr_open_duration,num_contributors,comments_per_pr,commit_per_dev,num_releases,num_commits,issue_open_user,issue_open_duration
opspresso,argocd-env-demo,0.74305546,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Zuzanav,project-1,0.74305546,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
etallion,relaxbreak,0.74305546,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
build-week-sleep-tracker,FE,0.74305546,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
akariiijima,foodCollect,0.74302316,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ballerina-platform,ballerina-lang,0.7429908,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
klaytn,klaytn,0.7429152,0.0,1.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
googleapis,nodejs-datastore,0.7429029,0.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0
Homebrew,homebrew-cask-versions,0.7428936,0.0,1.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
monash-merc,as-walker,0.7426238,0.0,1.0,40.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
HaloSpaceStation,HaloSpaceStation13,0.742412,0.0,0.0,703.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
mozilla,bedrock,0.7422647,0.0,0.0,356.0,2.0,1.0,0.0,0.0,0.0,0.0,2355.0
CleverRaven,Cataclysm-DDA,0.7422137,1.0,0.0,13.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
int128,kubelogin,0.7419543,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,11.0
groupon,swagql,0.7412488,0.0,0.0,469.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0
OfficeDev,office-ui-fabric-react,0.74055827,2.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
storybookjs,storybook,0.74015576,0.0,0.0,10.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
Vianpyro,Aycraft-Web-Page,0.73985034,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
Johnathan,football_data,0.73920935,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Sidebail,JS_BosJs,0.73920935,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
ImaginaryDevelopment,imaginary-hero-designer,0.7391986,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
nishiokadao,freemarket_sample_55b,0.739083,0.0,2.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
dotnet,wpf,0.738925,1.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,7.0
climate-machine,Oceananigans.jl,0.7385345,1.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0
ibmruntimes,openj9-openjdk-jdk11,0.738269,0.0,0.0,1014.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0
insarlab,MintPy,0.7381392,0.0,0.0,152.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0
mozilla,fxa,0.73776233,2.0,0.0,371.0,1.0,8.0,0.0,0.0,0.0,1.0,2343.0
astropy,astropy,0.7375,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
dnote,dnote,0.7374391,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1522.0
hcsp,fix-counting-hashset,0.737119,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
uniquelyparticular,stripe-distinct-usage-tracking,0.737119,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Azure,azure-sdk-for-js,0.736971,2.0,4.0,49.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
thattomperson,placeholdmon,0.7369032,0.0,0.0,20.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
triplea-game,triplea,0.73643905,0.0,0.0,63.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
OriginProtocol,origin,0.736309,0.0,2.0,273.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
texas-justice-initiative,website-nextjs,0.7361833,0.0,0.0,59.0,1.0,1.0,1.0,0.0,1.0,0.0,100.0
sonb9615,ByBy,0.7361111,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
derat,ascenso,0.7360787,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
microsoft,BuildXL,0.7360787,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
intersective,practera-app-v2,0.7360571,0.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
PolymerLabs,arcs,0.73602474,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
fourmix-pub,fourmix-system,0.7359816,0.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ocaml,ocaml,0.735849,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
zypA13510,ui5-fontawesome,0.7357948,2.0,0.0,59.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
